 Simulation_Period = 20090901 -- 20170831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Mon                TM_C               TOM_C               SOM_C              POM1_C              POM2_C               MOM_C               QOM_C               DOM_C                MB_C               MBA_C               MBD_C               ENZ_C             ENZP1_C             ENZP2_C              ENZM_C            TM_err_C                 CO2               Nmine                 NH4                 NO3                TM_N               TOM_N               SOM_N              POM1_N              POM2_N               MOM_N               QOM_N               DOM_N                MB_N               MBA_N               MBD_N               ENZ_N             ENZP1_N             ENZP2_N              ENZM_N            TM_err_N               TM_CN              TOM_CN              SOM_CN             POM1_CN             POM2_CN              MOM_CN              QOM_CN              DOM_CN               MB_CN              MBA_CN              MBD_CN              ENZ_CN            ENZP1_CN            ENZP2_CN             ENZM_CN           TM_err_CN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
    201006        0.131110E+01        0.131110E+01        0.127899E+01        0.420762E+00        0.161743E+00        0.696485E+00        0.290991E-05        0.114981E-03        0.318224E-01        0.411955E-02        0.277028E-01        0.169362E-03        0.679975E-04        0.236568E-04        0.777076E-04       -0.675831E-17        0.354098E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201007        0.134687E+01        0.134687E+01        0.131598E+01        0.427676E+00        0.191342E+00        0.696965E+00        0.383540E-06        0.114503E-03        0.306060E-01        0.389396E-02        0.267121E-01        0.162324E-03        0.618071E-04        0.260386E-04        0.744785E-04        0.117268E-16        0.434395E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201008        0.138080E+01        0.138080E+01        0.135028E+01        0.434667E+00        0.217827E+00        0.697786E+00        0.452674E-07        0.923473E-04        0.302680E-01        0.367568E-02        0.265923E-01        0.158536E-03        0.578832E-04        0.279122E-04        0.727402E-04        0.227285E-17        0.516777E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201009        0.139452E+01        0.139452E+01        0.136422E+01        0.438813E+00        0.226543E+00        0.698866E+00        0.563033E-08        0.856643E-04        0.300523E-01        0.406169E-02        0.259906E-01        0.157964E-03        0.566058E-04        0.288802E-04        0.724779E-04        0.987044E-17        0.577938E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201010        0.140150E+01        0.140150E+01        0.137084E+01        0.442348E+00        0.228219E+00        0.700273E+00        0.890371E-09        0.746970E-04        0.304268E-01        0.473150E-02        0.256952E-01        0.157777E-03        0.562623E-04        0.291226E-04        0.723921E-04       -0.211007E-17        0.637781E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201011        0.139229E+01        0.139229E+01        0.135999E+01        0.443465E+00        0.214653E+00        0.701874E+00        0.184615E-09        0.466085E-04        0.321008E-01        0.525620E-02        0.268446E-01        0.152896E-03        0.552412E-04        0.275022E-04        0.701525E-04        0.725956E-17        0.679849E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201012        0.137706E+01        0.137706E+01        0.134237E+01        0.443019E+00        0.196177E+00        0.703176E+00        0.109400E-05        0.210191E-04        0.345269E-01        0.478257E-02        0.297443E-01        0.132961E-03        0.493394E-04        0.226158E-04        0.610060E-04        0.125023E-16        0.703637E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201101        0.137641E+01        0.137641E+01        0.134092E+01        0.443083E+00        0.194423E+00        0.703373E+00        0.415952E-04        0.134718E-04        0.354010E-01        0.223069E-02        0.331703E-01        0.729952E-04        0.274109E-04        0.120923E-04        0.334921E-04        0.559689E-17        0.708337E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201102        0.137590E+01        0.137590E+01        0.133894E+01        0.443180E+00        0.191854E+00        0.703627E+00        0.280370E-03        0.371473E-04        0.368713E-01        0.210769E-02        0.347636E-01        0.482268E-04        0.181776E-04        0.792151E-05        0.221277E-04       -0.123174E-16        0.713806E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201103        0.137746E+01        0.137746E+01        0.133745E+01        0.443659E+00        0.189525E+00        0.704006E+00        0.257893E-03        0.363055E-04        0.399041E-01        0.289274E-02        0.370113E-01        0.745135E-04        0.282287E-04        0.120961E-04        0.341887E-04       -0.199290E-17        0.725137E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201104        0.138565E+01        0.138565E+01        0.134196E+01        0.445299E+00        0.192054E+00        0.704485E+00        0.119537E-03        0.581234E-04        0.435132E-01        0.431092E-02        0.392023E-01        0.120122E-03        0.454666E-04        0.195404E-04        0.551150E-04       -0.902124E-17        0.749732E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201105        0.139856E+01        0.139856E+01        0.135590E+01        0.449207E+00        0.201294E+00        0.705373E+00        0.221873E-04        0.106535E-03        0.423848E-01        0.504949E-02        0.373353E-01        0.171516E-03        0.644414E-04        0.283789E-04        0.786961E-04       -0.140208E-16        0.809571E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201106        0.142363E+01        0.142363E+01        0.138393E+01        0.455470E+00        0.222090E+00        0.706368E+00        0.313273E-05        0.974633E-04        0.394229E-01        0.394404E-02        0.354789E-01        0.176253E-03        0.647393E-04        0.306445E-04        0.808694E-04        0.193557E-16        0.892665E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201107        0.143480E+01        0.143480E+01        0.139586E+01        0.458808E+00        0.229844E+00        0.707209E+00        0.436760E-06        0.466715E-04        0.387371E-01        0.265266E-02        0.360845E-01        0.154582E-03        0.559329E-04        0.277232E-04        0.709264E-04        0.244867E-17        0.945239E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201108        0.144763E+01        0.144763E+01        0.140426E+01        0.460772E+00        0.235839E+00        0.707631E+00        0.143965E-04        0.413561E-04        0.432147E-01        0.237391E-02        0.408408E-01        0.118260E-03        0.424652E-04        0.215342E-04        0.542608E-04        0.850523E-17        0.969211E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201109        0.146161E+01        0.146161E+01        0.141248E+01        0.463099E+00        0.241120E+00        0.708251E+00        0.834855E-05        0.534297E-04        0.489497E-01        0.316670E-02        0.457831E-01        0.123244E-03        0.439464E-04        0.227501E-04        0.565475E-04       -0.268696E-17        0.997766E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201110        0.146732E+01        0.146732E+01        0.141299E+01        0.464953E+00        0.238743E+00        0.709292E+00        0.241618E-05        0.550748E-04        0.541436E-01        0.408510E-02        0.500585E-01        0.133280E-03        0.475426E-04        0.245851E-04        0.611522E-04       -0.115391E-16        0.103065E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201111        0.145863E+01        0.145863E+01        0.140190E+01        0.465869E+00        0.225196E+00        0.710839E+00        0.498549E-06        0.519941E-04        0.565225E-01        0.545010E-02        0.510724E-01        0.150906E-03        0.546011E-04        0.270654E-04        0.692396E-04        0.637941E-17        0.106869E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201112        0.143752E+01        0.143752E+01        0.137915E+01        0.465292E+00        0.201311E+00        0.712545E+00        0.134305E-06        0.412008E-04        0.581761E-01        0.618538E-02        0.519907E-01        0.150605E-03        0.561218E-04        0.253818E-04        0.691014E-04       -0.476814E-17        0.110061E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201201        0.141908E+01        0.141908E+01        0.135813E+01        0.464424E+00        0.179841E+00        0.713861E+00        0.401474E-07        0.357260E-04        0.607792E-01        0.591345E-02        0.548658E-01        0.141636E-03        0.545926E-04        0.220573E-04        0.649863E-04        0.109740E-16        0.112575E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
