 Simulation_Period = 20090901 -- 20170831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day               kPOM1               kPOM2                kMOM                kDOM                kMBA             kMBA_in                kMBD             kMBD_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE                 NUE              TM_err               TMbeg               TMend              TOTinp              TOTout                 STP                 SWC                 SWP                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
  20090911        0.196583E-04        0.243042E-03        0.821417E-05        0.271250E+01        0.260458E-01        0.327875E-01        0.555833E-05        0.150792E-03        0.397625E-02        0.365583E-02        0.106375E+00        0.302583E+00       -0.759542E-01        0.100000E+01        0.494167E-17        0.120000E+01        0.120000E+01        0.899000E-04        0.117083E-03        0.235000E+02        0.777000E-01       -0.324000E-01        0.640000E+01
  20090912        0.189875E-04        0.236292E-03        0.798167E-05        0.256500E+01        0.246542E-01        0.310667E-01        0.528375E-05        0.147292E-03        0.387542E-02        0.357167E-02        0.106625E+00        0.294958E+00       -0.738375E-01        0.100000E+01        0.154050E-16        0.120000E+01        0.120000E+01        0.899000E-04        0.113292E-03        0.226000E+02        0.773000E-01       -0.327000E-01        0.640000E+01
  20090913        0.182917E-04        0.228042E-03        0.772083E-05        0.244625E+01        0.235917E-01        0.297458E-01        0.502250E-05        0.145083E-03        0.378542E-02        0.349458E-02        0.106000E+00        0.287458E+00       -0.717667E-01        0.100000E+01       -0.741667E-18        0.120000E+01        0.120000E+01        0.899000E-04        0.109917E-03        0.221000E+02        0.769000E-01       -0.331000E-01        0.640000E+01
  20090914        0.176875E-04        0.223583E-03        0.752417E-05        0.232917E+01        0.195958E-01        0.247208E-01        0.435625E-05        0.142792E-03        0.322333E-02        0.297583E-02        0.949750E-01        0.280458E+00       -0.709458E-01        0.100000E+01        0.715875E-17        0.120000E+01        0.120000E+01        0.659000E-04        0.928625E-04        0.210000E+02        0.765000E-01       -0.334000E-01        0.640000E+01
  20090915        0.168417E-04        0.207708E-03        0.711917E-05        0.232042E+01        0.194583E-01        0.245208E-01        0.409500E-05        0.146875E-03        0.312833E-02        0.289250E-02        0.896417E-01        0.273833E+00       -0.689750E-01        0.100000E+01        0.514967E-16        0.120000E+01        0.120000E+01        0.659000E-04        0.895875E-04        0.217000E+02        0.761000E-01       -0.338000E-01        0.640000E+01
  20090916        0.161792E-04        0.198458E-03        0.684292E-05        0.224500E+01        0.188375E-01        0.237542E-01        0.389292E-05        0.146833E-03        0.305083E-02        0.282583E-02        0.878750E-01        0.267250E+00       -0.671750E-01        0.100000E+01        0.179227E-16        0.119958E+01        0.119917E+01        0.659000E-04        0.868792E-04        0.216000E+02        0.757000E-01       -0.342000E-01        0.640000E+01
  20090917        0.155625E-04        0.190875E-03        0.659875E-05        0.216000E+01        0.181375E-01        0.228625E-01        0.370958E-05        0.145833E-03        0.297583E-02        0.276000E-02        0.868208E-01        0.260875E+00       -0.654625E-01        0.100000E+01        0.266125E-17        0.119000E+01        0.119000E+01        0.659000E-04        0.842542E-04        0.212000E+02        0.753000E-01       -0.346000E-01        0.640000E+01
  20090918        0.148750E-04        0.179333E-03        0.628167E-05        0.213000E+01        0.179708E-01        0.226333E-01        0.352250E-05        0.148500E-03        0.290958E-02        0.270333E-02        0.834000E-01        0.254583E+00       -0.636417E-01        0.100000E+01        0.158551E-16        0.119000E+01        0.119000E+01        0.659000E-04        0.819833E-04        0.216000E+02        0.749000E-01       -0.350000E-01        0.640000E+01
  20090919        0.142875E-04        0.171167E-03        0.603500E-05        0.206792E+01        0.175000E-01        0.220417E-01        0.335917E-05        0.148833E-03        0.284375E-02        0.264583E-02        0.816417E-01        0.248292E+00       -0.619417E-01        0.100000E+01        0.264150E-16        0.119000E+01        0.119000E+01        0.659000E-04        0.797417E-04        0.216000E+02        0.745000E-01       -0.354000E-01        0.640000E+01
  20090920        0.137042E-04        0.162333E-03        0.577375E-05        0.202458E+01        0.172333E-01        0.216917E-01        0.320083E-05        0.150333E-03        0.278250E-02        0.259375E-02        0.791625E-01        0.242250E+00       -0.602250E-01        0.100000E+01        0.218258E-16        0.119000E+01        0.119000E+01        0.659000E-04        0.776625E-04        0.218000E+02        0.741000E-01       -0.358000E-01        0.640000E+01
  20090921        0.130917E-04        0.151167E-03        0.547333E-05        0.202000E+01        0.173375E-01        0.217917E-01        0.304417E-05        0.154750E-03        0.272708E-02        0.254583E-02        0.750875E-01        0.236000E+00       -0.584125E-01        0.100000E+01        0.324417E-16        0.119000E+01        0.119000E+01        0.659000E-04        0.757750E-04        0.226000E+02        0.737000E-01       -0.362000E-01        0.640000E+01
  20090922        0.127917E-04        0.153167E-03        0.543167E-05        0.182375E+01        0.181917E-01        0.229583E-01        0.322792E-05        0.144167E-03        0.308667E-02        0.289333E-02        0.905750E-01        0.229958E+00       -0.563667E-01        0.100000E+01       -0.399208E-16        0.119000E+01        0.119000E+01        0.869000E-04        0.855667E-04        0.206000E+02        0.733000E-01       -0.366000E-01        0.640000E+01
  20090923        0.124667E-04        0.154208E-03        0.536417E-05        0.167333E+01        0.169417E-01        0.214375E-01        0.313917E-05        0.136667E-03        0.305125E-02        0.286542E-02        0.955500E-01        0.223792E+00       -0.549667E-01        0.100000E+01       -0.370675E-16        0.119000E+01        0.119000E+01        0.869000E-04        0.842500E-04        0.189000E+02        0.729000E-01       -0.370000E-01        0.640000E+01
  20090924        0.120625E-04        0.151917E-03        0.523292E-05        0.157083E+01        0.160833E-01        0.203708E-01        0.303167E-05        0.132292E-03        0.300375E-02        0.282583E-02        0.978833E-01        0.218000E+00       -0.535625E-01        0.100000E+01       -0.256500E-16        0.119000E+01        0.119000E+01        0.869000E-04        0.826083E-04        0.178000E+02        0.725000E-01       -0.375000E-01        0.640000E+01
  20090925        0.115292E-04        0.144042E-03        0.499292E-05        0.153583E+01        0.159375E-01        0.201875E-01        0.290708E-05        0.133458E-03        0.296000E-02        0.278917E-02        0.956292E-01        0.212292E+00       -0.520042E-01        0.100000E+01       -0.308417E-16        0.119000E+01        0.119000E+01        0.869000E-04        0.810667E-04        0.180000E+02        0.721000E-01       -0.379000E-01        0.640000E+01
  20090926        0.109000E-04        0.131083E-03        0.465958E-05        0.156708E+01        0.165625E-01        0.209167E-01        0.276708E-05        0.140500E-03        0.292000E-02        0.275500E-02        0.887000E-01        0.206500E+00       -0.502625E-01        0.100000E+01       -0.231958E-16        0.119000E+01        0.119000E+01        0.869000E-04        0.796208E-04        0.196000E+02        0.717000E-01       -0.384000E-01        0.640000E+01
  20090927        0.104208E-04        0.123625E-03        0.443833E-05        0.154292E+01        0.165917E-01        0.209375E-01        0.265417E-05        0.142708E-03        0.288042E-02        0.272208E-02        0.858000E-01        0.200792E+00       -0.486875E-01        0.100000E+01       -0.317167E-16        0.119000E+01        0.119000E+01        0.869000E-04        0.782458E-04        0.201000E+02        0.713000E-01       -0.388000E-01        0.640000E+01
  20090928        0.100675E-04        0.120583E-03        0.430625E-05        0.146958E+01        0.160500E-01        0.202667E-01        0.256583E-05        0.140083E-03        0.284167E-02        0.269000E-02        0.864500E-01        0.195125E+00       -0.472958E-01        0.100000E+01       -0.492775E-16        0.119000E+01        0.119000E+01        0.869000E-04        0.769250E-04        0.195000E+02        0.709000E-01       -0.393000E-01        0.640000E+01
  20090929        0.981542E-05        0.121500E-03        0.425167E-05        0.135250E+01        0.149875E-01        0.189792E-01        0.249875E-05        0.132833E-03        0.280500E-02        0.265958E-02        0.908500E-01        0.189583E+00       -0.460750E-01        0.100000E+01       -0.253333E-16        0.119000E+01        0.119000E+01        0.869000E-04        0.757000E-04        0.179000E+02        0.705000E-01       -0.398000E-01        0.640000E+01
  20090930        0.930000E-05        0.111667E-03        0.398500E-05        0.138667E+01        0.135125E-01        0.170458E-01        0.221792E-05        0.140292E-03        0.239167E-02        0.226583E-02        0.741583E-01        0.184375E+00       -0.451333E-01        0.100000E+01       -0.379212E-16        0.119000E+01        0.119000E+01        0.685000E-04        0.642250E-04        0.192000E+02        0.701000E-01       -0.403000E-01        0.640000E+01
  20091001        0.880750E-05        0.101704E-03        0.372375E-05        0.142000E+01        0.139917E-01        0.176000E-01        0.211625E-05        0.147917E-03        0.234083E-02        0.222000E-02        0.678750E-01        0.179125E+00       -0.435583E-01        0.100000E+01       -0.177854E-16        0.119000E+01        0.119000E+01        0.685000E-04        0.626542E-04        0.210000E+02        0.697000E-01       -0.408000E-01        0.640000E+01
  20091002        0.872833E-05        0.108000E-03        0.378500E-05        0.125500E+01        0.124083E-01        0.156875E-01        0.208625E-05        0.134667E-03        0.217500E-02        0.218917E-02        0.759625E-01        0.175208E+00        0.163458E-01        0.100000E+01       -0.495167E-16        0.119042E+01        0.119083E+01        0.685000E-04        0.581542E-04        0.177000E+02        0.693000E-01       -0.413000E-01        0.640000E+01
  20091003        0.843083E-05        0.105708E-03        0.367458E-05        0.122000E+01        0.119875E-01        0.151750E-01        0.202917E-05        0.134833E-03        0.208167E-02        0.215500E-02        0.768292E-01        0.173500E+00        0.441500E-01        0.100000E+01       -0.252292E-16        0.120000E+01        0.120000E+01        0.685000E-04        0.556958E-04        0.171000E+02        0.689000E-01       -0.418000E-01        0.640000E+01
  20091004        0.809292E-05        0.101183E-03        0.352375E-05        0.122000E+01        0.118750E-01        0.150292E-01        0.196667E-05        0.138667E-03        0.204833E-02        0.212125E-02        0.754583E-01        0.172333E+00        0.443500E-01        0.100000E+01       -0.287925E-16        0.120000E+01        0.120000E+01        0.685000E-04        0.548875E-04        0.172000E+02        0.685000E-01       -0.423000E-01        0.640000E+01
  20091005        0.779167E-05        0.974875E-04        0.339500E-05        0.121208E+01        0.117292E-01        0.148250E-01        0.191083E-05        0.141875E-03        0.200583E-02        0.208833E-02        0.746417E-01        0.171125E+00        0.495333E-01        0.100000E+01       -0.153708E-16        0.120000E+01        0.120000E+01        0.685000E-04        0.538542E-04        0.172000E+02        0.681000E-01       -0.429000E-01        0.640000E+01
  20091006        0.747000E-05        0.924000E-04        0.324042E-05        0.122792E+01        0.117917E-01        0.149000E-01        0.185167E-05        0.147542E-03        0.200083E-02        0.205750E-02        0.721208E-01        0.169542E+00        0.376167E-01        0.100000E+01       -0.395625E-16        0.120000E+01        0.120000E+01        0.685000E-04        0.538167E-04        0.177000E+02        0.677000E-01       -0.434000E-01        0.640000E+01
  20091007        0.732917E-05        0.940708E-04        0.322208E-05        0.116417E+01        0.110542E-01        0.140000E-01        0.181833E-05        0.143875E-03        0.186708E-02        0.203042E-02        0.763458E-01        0.169000E+00        0.900750E-01        0.100000E+01       -0.217600E-16        0.120000E+01        0.120000E+01        0.685000E-04        0.503500E-04        0.161000E+02        0.673000E-01       -0.440000E-01        0.640000E+01
  20091008        0.694792E-05        0.856500E-04        0.300917E-05        0.124875E+01        0.948125E-02        0.119458E-01        0.161958E-05        0.158458E-03        0.159083E-02        0.160333E-02        0.567708E-01        0.167667E+00        0.206917E-01        0.100000E+01       -0.987858E-17        0.120000E+01        0.120000E+01        0.484000E-04        0.428667E-04        0.180000E+02        0.669000E-01       -0.446000E-01        0.640000E+01
  20091009        0.691542E-05        0.907250E-04        0.306250E-05        0.114000E+01        0.848625E-02        0.107375E-01        0.159917E-05        0.148000E-03        0.141250E-02        0.156708E-02        0.624500E-01        0.166000E+00        0.111333E+00        0.100000E+01        0.379292E-16        0.120000E+01        0.120000E+01        0.484000E-04        0.381042E-04        0.152000E+02        0.665000E-01       -0.452000E-01        0.640000E+01
  20091010        0.675333E-05        0.906833E-04        0.301625E-05        0.111208E+01        0.812542E-02        0.102792E-01        0.157792E-05        0.147292E-03        0.135667E-02        0.154333E-02        0.644125E-01        0.166875E+00        0.133500E+00        0.100000E+01       -0.859458E-17        0.120000E+01        0.120000E+01        0.484000E-04        0.367417E-04        0.141000E+02        0.662000E-01       -0.456000E-01        0.640000E+01
  20091011        0.658500E-05        0.893417E-04        0.295167E-05        0.110958E+01        0.794125E-02        0.100583E-01        0.162583E-05        0.139125E-03        0.133167E-02        0.152000E-02        0.647750E-01        0.167708E+00        0.135417E+00        0.100000E+01       -0.204708E-17        0.120000E+01        0.120000E+01        0.484000E-04        0.362792E-04        0.138000E+02        0.669000E-01       -0.446000E-01        0.640000E+01
  20091012        0.631708E-05        0.834417E-04        0.280333E-05        0.116667E+01        0.819625E-02        0.103583E-01        0.166167E-05        0.138000E-03        0.137750E-02        0.149375E-02        0.604792E-01        0.168000E+00        0.904083E-01        0.100000E+01        0.186171E-16        0.120000E+01        0.120000E+01        0.484000E-04        0.376250E-04        0.151000E+02        0.676000E-01       -0.436000E-01        0.640000E+01
  20091013        0.611167E-05        0.792875E-04        0.269417E-05        0.120000E+01        0.836208E-02        0.105500E-01        0.171417E-05        0.133042E-03        0.139917E-02        0.147250E-02        0.575042E-01        0.167250E+00        0.632250E-01        0.100000E+01        0.566667E-17        0.120000E+01        0.120000E+01        0.484000E-04        0.382792E-04        0.161000E+02        0.684000E-01       -0.425000E-01        0.640000E+01
  20091014        0.598792E-05        0.780708E-04        0.264250E-05        0.119000E+01        0.826125E-02        0.104250E-01        0.177000E-05        0.124625E-03        0.137458E-02        0.145542E-02        0.572292E-01        0.166167E+00        0.695708E-01        0.100000E+01        0.396000E-17        0.120000E+01        0.120000E+01        0.484000E-04        0.376750E-04        0.160000E+02        0.691000E-01       -0.416000E-01        0.640000E+01
  20091015        0.590583E-05        0.783458E-04        0.262250E-05        0.116667E+01        0.802500E-02        0.101375E-01        0.184000E-05        0.115000E-03        0.133167E-02        0.144167E-02        0.584292E-01        0.166000E+00        0.897875E-01        0.100000E+01       -0.860417E-17        0.120000E+01        0.120000E+01        0.484000E-04        0.365792E-04        0.153000E+02        0.698000E-01       -0.407000E-01        0.640000E+01
  20091016        0.581042E-05        0.779417E-04        0.259000E-05        0.115958E+01        0.736125E-02        0.929708E-02        0.186125E-05        0.106958E-03        0.122125E-02        0.132792E-02        0.550167E-01        0.166000E+00        0.941958E-01        0.100000E+01        0.305733E-16        0.120000E+01        0.120000E+01        0.432000E-04        0.336042E-04        0.149000E+02        0.706000E-01       -0.397000E-01        0.640000E+01
  20091017        0.573250E-05        0.781417E-04        0.256917E-05        0.114500E+01        0.715125E-02        0.903833E-02        0.193000E-05        0.990292E-04        0.119000E-02        0.131000E-02        0.558458E-01        0.166000E+00        0.107333E+00        0.100000E+01        0.156250E-16        0.120000E+01        0.120000E+01        0.432000E-04        0.327792E-04        0.143000E+02        0.713000E-01       -0.388000E-01        0.640000E+01
  20091018        0.564125E-05        0.775167E-04        0.253417E-05        0.114417E+01        0.704833E-02        0.891250E-02        0.201458E-05        0.922542E-04        0.117542E-02        0.129625E-02        0.559792E-01        0.166667E+00        0.107958E+00        0.100000E+01        0.247538E-16        0.120000E+01        0.120000E+01        0.432000E-04        0.325000E-04        0.141000E+02        0.721000E-01       -0.379000E-01        0.640000E+01
  20091019        0.542500E-05        0.712708E-04        0.239542E-05        0.122750E+01        0.748167E-02        0.942583E-02        0.205708E-05        0.930417E-04        0.124542E-02        0.127708E-02        0.504125E-01        0.166333E+00        0.402417E-01        0.100000E+01        0.187000E-17        0.120000E+01        0.120000E+01        0.432000E-04        0.345125E-04        0.163000E+02        0.728000E-01       -0.371000E-01        0.640000E+01
  20091020        0.529417E-05        0.678958E-04        0.231625E-05        0.126500E+01        0.772250E-02        0.971125E-02        0.211417E-05        0.901083E-04        0.127333E-02        0.126375E-02        0.473792E-01        0.164750E+00        0.850500E-02        0.100000E+01        0.324042E-16        0.120000E+01        0.120000E+01        0.432000E-04        0.353000E-04        0.176000E+02        0.735000E-01       -0.364000E-01        0.640000E+01
  20091021        0.525167E-05        0.678500E-04        0.230125E-05        0.124542E+01        0.763667E-02        0.960500E-02        0.221250E-05        0.825542E-04        0.124583E-02        0.125708E-02        0.474667E-01        0.163125E+00        0.239167E-01        0.100000E+01       -0.369042E-17        0.120000E+01        0.120000E+01        0.432000E-04        0.345542E-04        0.174000E+02        0.743000E-01       -0.356000E-01        0.640000E+01
  20091022        0.527500E-05        0.707167E-04        0.234125E-05        0.118167E+01        0.725042E-02        0.914250E-02        0.233083E-05        0.736000E-04        0.118000E-02        0.125292E-02        0.505250E-01        0.162000E+00        0.744792E-01        0.100000E+01       -0.689208E-17        0.120000E+01        0.120000E+01        0.432000E-04        0.327042E-04        0.159000E+02        0.750000E-01       -0.349000E-01        0.640000E+01
  20091023        0.529208E-05        0.737250E-04        0.238042E-05        0.113417E+01        0.687708E-02        0.869375E-02        0.246250E-05        0.660750E-04        0.112000E-02        0.124875E-02        0.539625E-01        0.163083E+00        0.115792E+00        0.100000E+01        0.280250E-16        0.120000E+01        0.120000E+01        0.432000E-04        0.312250E-04        0.142000E+02        0.757000E-01       -0.342000E-01        0.640000E+01
  20091024        0.523208E-05        0.734667E-04        0.235792E-05        0.114917E+01        0.519458E-02        0.653583E-02        0.221750E-05        0.623417E-04        0.852333E-03        0.930083E-03        0.412125E-01        0.164000E+00        0.102792E+00        0.100000E+01        0.462083E-17        0.120000E+01        0.120000E+01        0.268000E-04        0.236417E-04        0.140000E+02        0.765000E-01       -0.334000E-01        0.640000E+01
  20091025        0.510500E-05        0.699500E-04        0.227667E-05        0.120000E+01        0.526292E-02        0.660625E-02        0.225792E-05        0.609000E-04        0.863375E-03        0.903333E-03        0.381042E-01        0.164000E+00        0.645625E-01        0.100000E+01        0.147833E-16        0.120000E+01        0.120000E+01        0.268000E-04        0.239750E-04        0.153000E+02        0.772000E-01       -0.328000E-01        0.640000E+01
  20091026        0.510875E-05        0.716625E-04        0.229292E-05        0.116000E+01        0.507958E-02        0.638792E-02        0.238000E-05        0.548792E-04        0.833000E-03        0.899667E-03        0.396958E-01        0.164000E+00        0.938833E-01        0.100000E+01        0.317246E-16        0.120000E+01        0.120000E+01        0.268000E-04        0.231667E-04        0.142000E+02        0.780000E-01       -0.321000E-01        0.640000E+01
  20091027        0.507083E-05        0.718292E-04        0.228042E-05        0.115292E+01        0.499583E-02        0.628667E-02        0.248125E-05        0.511083E-04        0.821208E-03        0.893750E-03        0.401167E-01        0.164000E+00        0.100708E+00        0.100000E+01        0.463667E-16        0.120000E+01        0.120000E+01        0.268000E-04        0.228958E-04        0.139000E+02        0.787000E-01       -0.315000E-01        0.640000E+01
  20091028        0.499250E-05        0.704208E-04        0.224000E-05        0.117000E+01        0.501125E-02        0.630208E-02        0.257042E-05        0.486667E-04        0.825625E-03        0.884708E-03        0.392125E-01        0.164792E+00        0.868583E-01        0.100000E+01        0.255225E-16        0.120000E+01        0.120000E+01        0.268000E-04        0.230167E-04        0.142000E+02        0.794000E-01       -0.309000E-01        0.640000E+01
  20091029        0.488042E-05        0.672042E-04        0.216917E-05        0.122000E+01        0.515667E-02        0.647083E-02        0.265542E-05        0.470792E-04        0.849208E-03        0.873083E-03        0.367583E-01        0.164542E+00        0.484500E-01        0.100000E+01        0.347167E-16        0.120000E+01        0.120000E+01        0.268000E-04        0.237042E-04        0.155000E+02        0.802000E-01       -0.303000E-01        0.640000E+01
  20091030        0.493917E-05        0.711833E-04        0.223083E-05        0.115000E+01        0.486417E-02        0.612375E-02        0.282500E-05        0.416625E-04        0.801667E-03        0.875708E-03        0.400750E-01        0.164708E+00        0.104333E+00        0.100000E+01        0.123542E-16        0.120000E+01        0.120000E+01        0.268000E-04        0.223917E-04        0.135000E+02        0.809000E-01       -0.297000E-01        0.640000E+01
  20091031        0.491333E-05        0.717833E-04        0.222917E-05        0.114000E+01        0.477500E-02        0.601750E-02        0.296167E-05        0.387458E-04        0.790917E-03        0.871792E-03        0.408250E-01        0.165458E+00        0.112458E+00        0.100000E+01        0.339125E-16        0.120000E+01        0.120000E+01        0.268000E-04        0.221375E-04        0.130000E+02        0.816000E-01       -0.292000E-01        0.640000E+01
  20091101        0.485167E-05        0.707167E-04        0.219750E-05        0.115333E+01        0.515125E-02        0.649958E-02        0.326167E-05        0.364792E-04        0.857708E-03        0.935458E-03        0.433042E-01        0.166333E+00        0.101600E+00        0.100000E+01       -0.206954E-16        0.120000E+01        0.120000E+01        0.306000E-04        0.241042E-04        0.133000E+02        0.824000E-01       -0.286000E-01        0.640000E+01
  20091102        0.480125E-05        0.698750E-04        0.217333E-05        0.117000E+01        0.517542E-02        0.652875E-02        0.340667E-05        0.346917E-04        0.866042E-03        0.931792E-03        0.428417E-01        0.167000E+00        0.895708E-01        0.100000E+01        0.128600E-16        0.120000E+01        0.120000E+01        0.306000E-04        0.243875E-04        0.135000E+02        0.831000E-01       -0.281000E-01        0.640000E+01
  20091103        0.475250E-05        0.688792E-04        0.214542E-05        0.118833E+01        0.520333E-02        0.656000E-02        0.357042E-05        0.327833E-04        0.873333E-03        0.925333E-03        0.420250E-01        0.167958E+00        0.752500E-01        0.100000E+01        0.140792E-17        0.120000E+01        0.120000E+01        0.306000E-04        0.246000E-04        0.138000E+02        0.839000E-01       -0.276000E-01        0.640000E+01
  20091104        0.472917E-05        0.688250E-04        0.213708E-05        0.119000E+01        0.517917E-02        0.653125E-02        0.373833E-05        0.308667E-04        0.872000E-03        0.921375E-03        0.419750E-01        0.168000E+00        0.729833E-01        0.100000E+01        0.810750E-17        0.120000E+01        0.120000E+01        0.306000E-04        0.246000E-04        0.138000E+02        0.846000E-01       -0.271000E-01        0.640000E+01
  20091105        0.468375E-05        0.676000E-04        0.211000E-05        0.121000E+01        0.523667E-02        0.659708E-02        0.388667E-05        0.295333E-04        0.882958E-03        0.915333E-03        0.408750E-01        0.168167E+00        0.550250E-01        0.100000E+01       -0.226750E-16        0.120000E+01        0.120000E+01        0.306000E-04        0.249042E-04        0.143000E+02        0.853000E-01       -0.267000E-01        0.640000E+01
  20091106        0.463208E-05        0.659625E-04        0.207125E-05        0.124000E+01        0.533500E-02        0.671458E-02        0.405458E-05        0.282000E-04        0.899167E-03        0.909000E-03        0.393083E-01        0.168125E+00        0.310125E-01        0.100000E+01       -0.151167E-16        0.120000E+01        0.120000E+01        0.306000E-04        0.254042E-04        0.150000E+02        0.861000E-01       -0.261000E-01        0.640000E+01
  20091107        0.459000E-05        0.643625E-04        0.204000E-05        0.127000E+01        0.544833E-02        0.684708E-02        0.420083E-05        0.271333E-04        0.915542E-03        0.903417E-03        0.377083E-01        0.168000E+00        0.731250E-02        0.100000E+01        0.373500E-17        0.120000E+01        0.120000E+01        0.306000E-04        0.258583E-04        0.159000E+02        0.868000E-01       -0.257000E-01        0.640000E+01
  20091108        0.458792E-05        0.643042E-04        0.204000E-05        0.127000E+01        0.546042E-02        0.685833E-02        0.396875E-05        0.290583E-04        0.913500E-03        0.901667E-03        0.374292E-01        0.167083E+00        0.769833E-02        0.100000E+01        0.420458E-17        0.120000E+01        0.120000E+01        0.306000E-04        0.257958E-04        0.160000E+02        0.860000E-01       -0.262000E-01        0.640000E+01
